Metallica ,Ride the Lightning  Japan 25DP 5340   i  ,1988,12,12,13,lossless
Metallica ,Ride the Lightning  Japan SHM-CD mini-lp  ,2010,7,6,8,lossless
Metallica ,Ride the Lightning  Original 1984 Vinyl Rip   i  ,1984,13,12,13,lossless
Metallica ,Ride the Lightning  Reissue   i  ,1989,12,11,12,lossless
Metallica ,Ride the Lightning  Reissue 1989 Master   i  ,2011,12,11,12,lossless
Metallica ,Ride The Lightning  Reissue Remastered   i  ,1995,8,8,9,lossless
Metallica ,Ride The Lightning  SHM-CD   i  ,2012,12,11,12,lossless
Metallica ,S M  Disc 1  ,1999,6,5,8,lossless
Metallica ,S M  Disc 2  ,1999,7,6,7,lossless
Metallica ,S M  Japan SHM-CD mini-lp   i  ,2010,6,5,8,lossless
Metallica ,Some Kind Of Monster  i  ,2003,6,5,6,lossless
Metallica ,St. Anger  Europe EP  ,2003,6,5,6,lossless
Metallica ,St. Anger  Japan SHM-CD mini-lp  ,2010,5,5,7,lossless
Metallica ,St. Anger  Vinyl LP  ,2003,9,8,10,lossless
Metallica ,The Unforgiven  single  ,1991,11,10,11,lossless
Metallica ,The Unnamed Feeling  EP   i  ,2003,6,6,6,lossless
Metallica ,Through The Never  Music From The Motion Picture   i  ,2013,8,6,9,lossless
Metallica ,Through The Never  Music from the Motion Picture   iTunes  ,2013,8,7,9,lossy
Metallica ,Until It Sleeps  single  ,1996,6,5,7,lossless
Metallica ,Wherever I May Roam  single  ,1992,10,9,10,lossless
Metallica ,Whiskey in the Jar  single  ,1999,6,6,7,lossless
