2012,12,7,13
1988,12,11,13
1988,12,11,13
1988,12,12,14
1988,12,11,13
1988,12,12,14
1988,12,11,13
2010,7,6,8
2010,7,6,8
1995,9,9,10
1988,12,11,13
1997,9,7,14
1981,11,9,14
2011,4,4,5
2012,9,9,9
2010,3,2,4
2009,11,11,12
2008,9,9,10
2008,8,8,9
2008,5,4,6
2009,8,8,9
1998,7,6,7
1998,6,5,7
2010,6,5,7
1998,12,11,13
2000,6,6,6
1983,12,11,13
1983,12,11,15
1983,14,12,15
2010,7,6,9
1989,12,11,13
1995,9,8,12
1983,13,12,14
1992,11,10,12
2010,7,5,8
1996,7,5,8
1996,11,10,13
2011,6,6,6
2011,8,6,13
1989,12,12,13
1993,12,12,13
1999,9,8,9
1986,12,12,13
1986,12,12,13
2010,6,6,7
2008,10,9,11
1986,12,11,13
1989,12,12,13
1995,8,8,9
2012,12,12,13
1986,13,12,14
1986,12,12,13
1991,11,10,12
1991,13,12,14
1991,14,14,15
2001,10,9,11
2001,11,10,12
2001,11,10,12
1991,11,10,12
2010,7,6,8
1991,11,10,12
1991,11,10,12
1992,12,10,14
1992,11,10,12
1989,12,11,14
1992,11,9,13
1989,9,8,10
2012,7,6,10
2010,6,5,7
1997,10,9,11
1984,13,12,13
1984,13,12,13
1989,12,11,12
1988,12,12,13
2010,7,6,8
1984,13,12,13
1989,12,11,12
2011,12,11,12
1995,8,8,9
2012,12,11,12
1999,6,5,8
1999,7,6,7
2010,6,5,8
2003,6,5,6
2003,6,5,6
2010,5,5,7
2003,9,8,10
1991,11,10,11
2003,6,6,6
2013,8,6,9
2013,8,7,9
1996,6,5,7
1992,10,9,10
1999,6,6,7
